行号	词法信息		语义信息
1	PROGRAM		program
1	ID		semerr
3	TYPE		type
4	ID		IntArray
4	EQ		=
4	ARRAY		array
4	LMIDPAREN		[
4	INTC		1
4	UNDERANGE		..
4	INTC		10
4	RMIDPAREN		]
4	OF		of
4	INTEGER		integer
4	SEMI		;
6	VAR		var
7	INTEGER		integer
7	ID		x
7	COMMA		,
7	ID		y
7	SEMI		;
8	CHAR		char
8	ID		c
8	SEMI		;
9	ID		IntArray
9	ID		a
9	SEMI		;
11	PROCEDURE		procedure
11	ID		p
11	LPAREN		(
11	INTEGER		integer
11	ID		k
11	SEMI		;
11	VAR		var
11	INTEGER		integer
11	ID		z
11	RPAREN		)
11	SEMI		;
12	BEGIN		begin
13	ID		z
13	ASSIGN		:=
13	ID		k
14	END		end
16	BEGIN		begin
17	ID		x
17	ASSIGN		:=
17	ID		c
17	SEMI		;
18	ID		y
18	ASSIGN		:=
18	ID		notDeclared
18	SEMI		;
19	ID		a
19	LMIDPAREN		[
19	ID		c
19	RMIDPAREN		]
19	ASSIGN		:=
19	ID		x
19	SEMI		;
20	ID		x
20	LMIDPAREN		[
20	INTC		1
20	RMIDPAREN		]
20	ASSIGN		:=
20	ID		y
20	SEMI		;
21	ID		p
21	LPAREN		(
21	ID		c
21	COMMA		,
21	ID		x
21	RPAREN		)
21	SEMI		;
22	ID		p
22	LPAREN		(
22	ID		x
22	COMMA		,
22	ID		x
22	PLUS		+
22	INTC		1
22	RPAREN		)
22	SEMI		;
23	IF		if
23	ID		x
23	EQ		=
23	ID		c
23	THEN		then
24	ID		x
24	ASSIGN		:=
24	ID		x
24	PLUS		+
24	INTC		1
25	ELSE		else
26	ID		y
26	ASSIGN		:=
26	ID		y
26	PLUS		+
26	INTC		1
27	FI		fi
28	END		end
28	DOT		.
28	ENDFILE		EOF
